customerid,movieid,rating,review_text
0,3,9,"What can I say? Jurassic Park is one of the most underrated movies ever. Yes, I did say underrated. True, it is the fourth highest grossing movie ever (for the time being) and was a motion picture bible for eight-year-olds across the country, but it has never been regarded as artistically superior. When, in reality, it is one of the most artistically inventive movies ever. It contains all of Spielberg's magical strokes of genius from fantastic art direction and wonderful camera techniques to astounding technical quality ( which comes from his well known control over technology). The minor flaws of a theme park are masterfully embedded into the art direction, script etc. and the acting is superb. This is one of the only movies I've seen with great acting by children. Spielberg's camera usage ranges from foreshadowing the appearance of dinosaurs with extreme up-angles to exquisitely composed scenes of the dinosaurs' 'interaction' with the characters. Aside from technical quality, Jurassic Park bears powerful social messages of human intrusion and destruction of natural environment and the self-revering nature of man. Also, it had an undeniable effect on cinema being one of the first movies to use CGI at such a large scale. However, the most ingenious aspect of the film is the portrayal of the dinosaurs as animals rather than ruthless monsters. At many times throughout the movie, the humans are portrayed as antagonists and the respect and appreciation of the dinosaurs is wonderfully developed. And, best of all, like star wars you can analyze the movie all you want or just sit back and enjoy the ride."
1,5,8,"This movie is a solid action movie. Not all of the dialogue is great and some of the effects are a bit dated - but this movie is still effective. The acting is great. The plot is great. This movie is well-shot and worth watching. I can't really come up with many things that are bad about it that don't have to do with it being old. This is just a fun movie with good action, time travel, and robots. I'd definitely recommend this movie. Its worth watching if you're looking for a good time."
2,7,8,"This film was a fun ride all the way through. It's lack of scariness(non existent) and *GASP!* gore is more than made up for with the constant flow of hilarity and likable characters. This is by far the optimist's zombie film, as the way things play out are definitely different than any one thats come before it(definitely not a Romero flick, though I think his Land of the Dead actually is second place in this regard). It has a sleek, very modern sense of style-just watch for how each rule makes it's appearance/reappearance and a good message on the importance of others in the worst of times. I recommend this to anybody who has a remote interest in comedies, zombie/end of the world flicks, or just having a good time at the theater, and look forward to seeing it again when it comes out."
3,6,10,"There aren't many movies better than Ghostbusters. This film expertly balances itself right between the horror genre and the comedy genre. The chemistry of the main three characters is undeniable, and when you throw in interesting side characters (such as Rick Moranis as Louis Tully), every scene is a delight to watch. The story is original, the effects are impressive and the jokes are funny - in short, Ghostbusters is a timeless classic."
4,2,10,"I sat in a packed yet silent theater this morning and watched, what I believe to be, the next Academy Award winner for the Best Picture. I'm not at all a fan of war movies but I am a fan of great movies....and 1917 is a great movie. I have never been so mesmerized by set design and direction, the mass human emotion of this film is astonishingly captured and embedded magically in the audience. It keeps running through my mind...the poetry and beauty intertwined with the raw misery of war. Treat yourself....see this movie!"
5,1,7,"This film deserves the criticism it gets and while flawed and nowhere near the classic Carpenter film, it did finally tell the tale of how the Thing was discovered. Also the limitations of the Thing not being able to replicate metal was a clever touch in my opinion."
6,8,6,"Well, I am bit puzzled. What can I say? Was the movie well done? Yes and no. There are certain weak parts and obvious stronger bits. Jude Law and Robert Downey Jnr both are great as Watson and Holmes, as well as Stephen Fry is a very funny Microft. But then, there are some big mistakes in casting. Noomi Rapace is The biggest blunder. She was great in The Swedish Girl Who... Trilogy, but here no. She is weak, pale, blunt, shallow and gray. The only part we remember of her? Her eating some food near The Eiffel Tower. Pity that there is no so much Rachel McAdamas this time, she was great then and good here What else can I say? The movie is well cut and shot, it is dark and ominous, as intended, and some scenes are pure Matrix-quality. But then, there are so many goofs and funny anachronisms that make the whole movie a bit unserious. My opinion? it was OK, and fun. A bit too prolonged at times."
7,9,7,"From all the Booksmart ripoffs I've seen, this is clearly one of the better ones."
8,4,6,"'Alien' while technically science fiction is also one of the greatest horror/suspense movies ever made. Ridley Scott is now one of the most well known and successful directors in Hollywood, but I don't think anything he's made in the last ten years is a patch on this perfect film, which is a near masterpiece in my opinion. In fact, on reflection there are only three Scott movies I genuinely like, those being his first three. The last of these 'Blade Runner' was released twenty years ago now, so to me Scott is long past his use by date. Whatever, 'Alien' itself is a brilliant piece of work, and is almost flawless. Scott's direction is superb and everything else about it is outstanding - a strong script from Dan O'Bannon et al, an evocative score from Jerry Goldsmith, brilliant design and special effects, including the amazing contributions from H.R.Giger, all add up to an amazing movie experience. I also really liked how the cast were character actors and not 'stars' so there was plenty of suspense generated as to who will live and who will die. This is something very few subsequent movies have done, 'Pitch Black' being one of the exceptions. Sigourney Weaver may be an icon as Ripley now, but when the movie was first released she was virtually unknown, having had a small cameo in Woody Allen's 'Annie Hall' and not much else. The rest of the cast are equally as good. I especially enjoyed Yaphet Kotto ('Blue Collar') and the legendary Harry Dean Stanton ('Wise Blood') as the wise cracking 'below deck' crew. Many people seem to prefer James Cameron's sequel 'Aliens' over this, but as I much prefer horror and suspense movies to action ones I think this is definitely the better movie, and still the strongest and most effective in the series. 'Alien' is a horror classic and an absolutely unforgettable movie that I can't recommend highly enough. If you haven't seen it before watch it immediately!"
9,0,10,"John Carpenter's The Thing is hands down the best horror film ever made. Not only that, but it is also on of my personal favorite films of all time. What makes the movie so great? It's hard to put my finger on it. Everything just seems to work in The Thing, it's one of the rare occasions where everything just seems to fall in place. The film is even superior to Alien in creating a type of moody atmospheric hell. The fact that it's not only about the gore (which is wonderful btw), but it is able to create a paranoia that is unmatched in films. A truly wonderful film that is worshiped by all horror buffs, and anyone who has good taste in films."
